股票代號,淨有形資產收益率(Q1),本業資金占總資產比率,長期債務比率,營收年增率(當月),營業利益率,股東權益報酬率(Q1),淨有形資產收益率(Q2),要求報酬率(Q1),內在價值,內在價值(Q2),季度數量,內在價值(Q3),四季盈餘,毛利率,年化營收
1101,0.0272113656982648,0.6040392012328815,0.351987330190212,-0.0005928921878411,0.0841829034289162,0.0318400832468624,0.0370517273466882,0.1331971585754338,36116877.36437604,68283166.94286925,33,242014514.5641701,-11426713.0,0.1871792781435972,148473860.0
1102,0.0509197058199523,0.6474948525959577,0.1687814454569026,-0.0115598188996241,0.0798525721482955,0.0586275386804582,0.0573585845288734,0.1272700735450119,139115788.1352874,153492958.729009,33,171077376.20488352,10552555.0,0.1300203088561839,68619523.0
1103,0.0114262619293789,0.511718959280622,0.3097823407500916,-0.0750335096435537,0.0229411508345802,0.0092382665537704,0.0271311350460818,0.1371434345176553,7251753.429616705,9394974.826087251,33,13395329.37221409,524896.0,0.2114880079027267,2868602.0
1104,0.061214592821595,0.7361847448549362,0.0434357035022637,0.0197634604559746,0.1624402304202218,0.0630603764859666,0.0686035212300151,0.1246963517946012,17857317.84277574,19416946.111929484,33,21704690.91937876,1755568.0,0.2794956587288458,7702408.0
1108,0.0359136981681449,0.9368469505801276,0.0427979359153208,-0.1376222106127322,0.0906591781838797,0.0576324767107265,0.0511392894329389,0.1310215754579637,3411317.4677978093,4468607.099659621,33,5874647.42021151,818196.0,0.1613511082832164,4077487.0
1109,0.0700906536265841,0.5736598438632717,0.0111151240117141,-0.1451202235300761,-0.0186428352635553,0.0472926501215393,0.1010353897284866,0.1224773365933539,8760988.81368354,10400969.900856338,33,11684682.811822793,270824.0,0.0623247776912626,4144044.0
1110,0.0066429924328983,0.8136699586732145,0.0937243740465034,-0.1064850932342098,0.0756380836979076,0.0070719899384994,0.0146711637176249,0.1383392518917754,1658530.8986223703,2290014.262846,33,2647292.273370374,185413.0,0.1433073082487904,2638810.0
1201,0.0164591521652568,0.8968593653289472,0.2402842776411196,-0.0508156399016136,0.0079071126221664,0.0371816986663263,0.0259308319830446,0.1358852119586858,-786529.2150989743,409286.8310226174,33,1295615.6559866564,194788.0,0.2740983074211963,21466629.0
1203,0.0605525212969058,0.690467564254926,0.1312485330988775,-0.1004794138926079,0.1574996525070858,0.0693330098648673,0.063649722549239,0.1248618696757735,5801241.681148964,5980220.396113629,33,6216762.026221899,408906.0,0.3446767107227248,5291881.0
1210,0.0501158932743753,0.8641403753743606,0.0514231403897852,0.1016086610207284,0.0438972416260055,0.0851895967744348,0.0565638280880574,0.1274710266814062,35219002.97892165,38694893.21463011,33,43052456.53260264,3530175.0,0.1406602979046739,104814745.0
