stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
1504.0,7,4,6,4,7,6,13,28,27,34
1506.0,4,0,0,8,3,3,6,15,15,18
1507.0,4,5,4,9,1,1,2,23,23,24
1512.0,0,0,0,1,0,8,8,1,9,9
1513.0,9,6,4,1,3,4,7,23,24,27
1514.0,5,7,6,5,3,5,8,26,28,31
1515.0,2,5,4,8,2,8,10,21,27,29
1516.0,2,4,7,10,5,9,14,28,32,37
1517.0,0,1,1,7,0,6,6,9,15,15
1519.0,9,6,4,5,2,2,4,26,26,28
1521.0,3,4,3,7,3,9,12,20,26,29
1522.0,5,3,2,1,9,10,19,20,21,30
1524.0,8,3,2,1,7,6,13,21,20,27
1525.0,3,5,6,7,8,4,12,29,25,33
1526.0,5,8,7,1,9,6,15,30,27,36
1527.0,7,7,7,10,9,6,15,40,37,46
1528.0,1,0,0,6,3,9,12,10,16,19
1529.0,7,3,4,2,3,2,5,19,18,21
1530.0,2,4,4,8,9,7,16,27,25,34
1531.0,0,0,0,7,2,6,8,9,13,15
1532.0,6,3,2,3,7,9,16,21,23,30
1533.0,0,2,2,1,0,7,7,5,12,12
1535.0,3,4,3,7,8,9,17,25,26,34
1536.0,5,4,3,1,4,5,9,17,18,22
1537.0,7,10,10,6,7,6,13,40,39,46
1538.0,0,0,0,6,0,2,2,6,8,8
1539.0,3,2,2,4,3,8,11,14,19,22
1540.0,8,1,1,9,7,4,11,26,23,30
1541.0,5,7,5,4,0,9,9,21,30,30
1558.0,4,6,6,5,4,9,13,25,30,34
1560.0,8,8,7,5,4,3,7,32,31,35
1565.0,7,9,9,7,8,5,13,40,37,45
1568.0,9,1,1,4,10,5,15,25,20,30
1569.0,0,2,2,7,0,9,9,11,20,20
1570.0,2,6,9,8,4,4,8,29,29,33
1580.0,9,9,9,8,9,6,15,44,41,50
1582.0,5,5,5,7,6,8,14,28,30,36
1583.0,6,4,4,5,9,7,16,28,26,35
1584.0,4,0,0,3,5,5,10,12,12,17
1586.0,0,2,2,1,0,8,8,5,13,13
1587.0,2,4,3,4,4,9,13,17,22,26
1589.0,2,0,0,1,0,9,9,3,12,12
1590.0,10,9,8,9,1,1,2,37,37,38
1591.0,0,5,5,8,0,1,1,18,19,19
1592.0,0,0,0,6,1,1,2,7,7,8
1593.0,6,9,9,4,5,6,11,33,34,39
1595.0,3,2,3,6,5,8,13,19,22,27
