stockId,ReturnOfNetTangibleAssets_FirstQuartile,ONWR,LongDebtRatio,YoY,OperatingProfitMargin,ReturnOfEquity_FirstQuartile,ReturnOfNetTangibleAssets_Median,ReturnOfRequest,IntrinsicValue_FirstQuartile,IntrinsicValue_Median,QuarterLength,IntrinsicValue_ThirdQuartile,Profit_4,GrossProfitRatio,revenue12,price,name,share,IntrinsicValuePerShare_FirstQuartile,IntrinsicValuePerShare_Median,IntrinsicValuePerShare_ThirdQuartile,AnnualizedReturn,SalesToPrice
1101,0.0396652099769476,0.6221293198938803,0.2830354718430761,-0.0119165005397106,0.0814739297494824,0.0456199652846108,0.094436732805347,0.1300836975057631,109766170.6248696,237413453.4009792,23,257061053.9386754,8683059.0,0.1757410450825665,112688821.0,32.15,台泥,7551181742,14.53629039470013,31.440569372138835,34.042493310535846,0.0357665336199257,0.46417840819534795
1102,0.0558405933981374,0.6549333699855607,0.1779971627027843,0.3481304577386533,0.0994851249901102,0.0753310323474333,0.0654892499750365,0.1260398516504656,153013160.6206743,166843164.0215758,23,174538499.65085548,10166288.0,0.1351363133232134,89414303.0,39.45,亞泥,3546562881,43.14407096527505,47.04362212648326,49.21342311055882,0.07266206512143229,0.6390757282671393
1103,0.018409020035211,0.4602019253736316,0.2895878061406879,0.2705983254626942,-0.059829872009251,0.0143606231538657,0.0405231663837593,0.1353977449911972,11385874.755374618,14833753.36178106,23,18679691.29311046,170066.0,0.1177214214428589,2338568.0,17.95,嘉泥,790247459,14.40798654358548,18.771023168555434,23.637774573483895,0.011989192576903094,0.16486271274789266
1104,0.0582889523516208,0.7673810598290212,0.0585600380003072,0.3497059744873884,0.118144467579784,0.0610439225826438,0.0655148180617201,0.1254277619120948,14791742.77985942,16049736.08670614,23,17797415.261025306,2252615.0,0.193541686434766,7144250.0,29.05,環泥,673217467,21.97171568612824,23.84034412866198,26.43635397687224,0.11518222391252596,0.3653045918574917
1108,0.0194766808271072,0.9327331423606968,0.171432823100631,0.5501778562975371,0.1375773748919034,0.0320106106910876,0.0399935204442927,0.1351308297932232,643745.2434311011,1891332.9126286136,23,3210031.555300639,745055.0,0.1912152041645652,4281965.0,15.1,幸福,404738049,1.5905231668275919,4.6729802579757305,7.931133638736888,0.12190944451698146,0.7006354894486401
1109,0.0902065724350787,0.5904269716194183,0.0164322489112914,0.5655917586658166,0.1507202990539771,0.0662565075233592,0.1109278064354067,0.1174483568912303,9826438.52190952,11159081.886433214,23,11546609.715135347,579891.0,0.2031392712202269,6288044.0,17.75,信大,341158868,28.80311621244305,32.70934140405582,33.84525743922725,0.0957615895623084,1.0383901262094704
1110,0.0037193737753315,0.8341324209677059,0.0900624602186439,0.3094587047500235,0.0025415422141511,0.0035171391914686,0.0084991628462837,0.1390701565561671,1124494.0672136848,1465126.383341319,23,1902480.567103506,265133.0,0.0696798034508197,1808253.0,18.3,東泥,572000797,1.96589597971082,2.5614061921338878,3.3260103431350747,0.02532888442199624,0.17274738053251748
1201,0.0168942068679266,0.8866079011812831,0.20035425342572,0.14973005300525,0.0163851527767094,0.0419662212061104,0.0305168229104915,0.1357764482830183,108239.44168763142,1719196.9271922102,23,2876355.313573011,139748.0,0.2701175022654317,20137272.0,18.6,味全,506062914,0.2138853464524599,3.397199991604621,5.68378996761065,0.014846638877262862,2.1393565944215083
1203,0.0614909541346404,0.782480106527451,0.145633304077888,0.0879021137700511,0.1191349756084983,0.0708716945557147,0.0646350025466321,0.1246272614663399,4558963.495185679,4700942.406213213,23,4904636.78819805,409404.0,0.2805250946515382,6375858.0,56.1,味王,240000000,18.995681229940327,19.587260025888387,20.435986617491878,0.030407308377896614,0.4735485739750446
1210,0.0441949955711768,0.8591296288778746,0.0544725648217299,0.0308274964944149,0.0543280448044619,0.0770702777782392,0.0551608373566453,0.1289512511072058,25327392.47760614,29979733.56882932,23,32321390.56714475,3716792.0,0.1319345465540045,112646729.0,58.2,大成,894767222,28.306124604110877,33.50562339757828,36.12268059495898,0.07137320626870458,2.163144513981914
